inventory_id,date_key,product_id,facility_id,stock_level,safety_stock_level,reorder_point
1,1590,9,4,5479,343,820
2,855,3,2,11685,1614,152
3,1760,3,5,2224,573,1422
4,1662,1,2,13521,1732,1031
5,1154,18,1,5091,1722,868
6,1077,12,3,6894,899,1039
7,1708,9,4,17930,1742,337
8,1696,9,1,3406,308,730
9,1734,18,2,18856,1160,1168
10,1440,18,3,16634,1231,470
11,836,7,5,16005,1567,1251
12,203,4,1,18143,235,1343
13,123,13,3,9170,393,652
14,401,17,2,7299,870,161
15,767,2,2,18803,1942,1023
16,294,14,1,19367,790,878
17,198,3,1,14233,1589,588
18,1931,5,1,17999,618,323
19,2192,14,4,11679,999,676
20,609,3,5,17073,558,663
21,1148,7,3,687,1613,612
22,187,18,2,19103,65,49
23,1795,13,2,6323,574,1420
24,660,10,5,14297,249,1384
25,1956,13,1,9487,1257,1252
26,1370,16,1,4453,358,1286
27,1987,9,2,14939,1889,714
28,1535,2,5,2705,1581,177
29,147,5,2,2638,1354,165
30,1735,17,1,13996,1907,359
31,1844,4,3,8857,1231,885
32,489,17,1,16298,1433,111
33,1960,9,3,1856,308,348
34,1664,20,4,1460,1992,191
35,641,2,5,18857,1230,721
36,1803,18,4,1295,474,1074
37,1970,11,1,18615,1679,640
38,1439,13,5,8109,828,291
39,1635,8,1,13892,1094,1138
40,263,1,5,15877,688,1008
41,1788,17,5,19894,1420,96
42,2192,12,1,18851,969,170
43,624,4,1,19827,1061,161
44,1017,13,5,15125,1936,250
45,881,9,5,19581,399,973
46,2050,7,1,1433,1010,147
47,1328,5,1,12936,1458,879
48,453,5,2,3436,487,715
49,1184,17,2,8257,505,516
50,2057,9,2,19568,673,1323
51,1683,6,4,3487,1819,829
52,1155,19,5,4813,1619,150
53,404,16,3,5201,1153,288
54,2102,2,4,2531,1525,637
55,1697,10,5,1116,1668,981
56,628,16,3,17125,1614,1303
57,587,5,2,8607,1562,1094
58,1649,15,3,540,692,1176
59,1444,13,1,17622,1596,828
60,1446,13,1,14734,441,1048
61,104,13,5,5343,623,667
62,254,15,4,2403,1432,757
63,1497,14,2,15086,82,521
64,99,8,5,12434,1209,1227
65,1885,11,2,14140,970,428
66,1920,18,1,6050,1673,1134
67,878,4,4,7146,1995,1479
68,338,10,4,6706,459,839
69,957,1,1,3521,1602,922
70,1705,5,3,13534,1072,208
71,161,13,4,18562,1164,1000
72,1604,1,3,6203,462,834
73,398,8,2,2300,348,402
74,1301,3,4,8327,1560,869
75,816,3,1,9109,1838,1365
76,1528,7,3,14321,122,1486
77,1920,4,2,14208,1791,509
78,1416,3,2,2046,310,1176
79,1159,15,4,4056,739,445
80,1219,8,4,12643,1385,269
81,401,3,5,18709,1008,1104
82,640,7,5,7815,1898,1039
83,460,18,4,3425,781,1465
84,955,11,5,8799,734,1266
85,470,11,1,3845,1238,1481
86,1046,17,1,12408,889,703
87,1694,6,5,12169,384,1427
88,2086,8,4,13589,1575,338
89,563,1,1,17889,781,1039
90,1800,10,2,13448,853,244
91,2075,19,4,18520,1234,442
92,226,3,3,2777,439,927
93,798,4,3,1844,809,1234
94,960,11,4,11275,932,98
95,1505,15,5,10650,1021,874
96,453,1,1,9523,1144,1023
97,816,9,1,1277,990,384
98,659,11,4,861,1165,41
99,547,19,2,4878,952,567
100,1216,13,5,6558,1434,349
101,17,16,2,9835,1394,1199
102,1244,4,4,18417,1318,75
103,1070,1,4,7279,73,1291
104,2147,20,2,14949,606,944
105,1769,13,3,4544,750,280
106,1061,1,4,3064,452,454
107,302,5,5,9322,1446,557
108,181,5,2,12911,1359,554
109,607,14,3,10167,1906,400
110,700,14,2,7324,490,122
111,993,8,3,10572,1989,48
112,1140,4,3,15226,1926,1100
113,191,7,5,3201,1668,1105
114,981,20,4,3997,1807,974
115,2007,19,3,3778,931,1091
116,1185,15,4,1943,1425,1410
117,128,4,5,18422,975,566
118,2066,19,4,16058,1928,346
119,1817,9,1,7183,1292,285
120,1759,13,3,1566,534,748
121,570,14,5,17219,1516,1219
122,1347,14,2,439,1291,1087
123,1896,10,5,11879,1775,238
124,626,16,3,17860,1140,145
125,1687,5,5,17188,80,901
126,155,6,2,3824,371,1422
127,1410,2,1,8289,1323,338
128,785,13,3,10434,615,1348
129,246,13,3,652,59,1243
130,1501,19,5,3591,727,104
131,1706,18,4,889,900,1084
132,538,19,4,1273,976,742
133,1891,1,2,652,334,1406
134,1842,8,1,19906,202,1312
135,921,16,1,4311,1617,381
136,525,2,5,8923,1602,386
137,1530,8,5,16753,420,1224
138,36,6,4,960,350,1274
139,685,16,1,390,1890,1007
140,20,11,1,9749,1928,1113
141,400,17,1,14444,195,607
142,972,19,2,5970,1660,982
143,1907,11,2,729,1964,508
144,1167,8,5,7107,1709,1277
145,1116,4,4,16286,1125,1472
146,834,11,3,6043,1477,850
147,1824,8,4,16958,751,685
148,1983,9,2,4180,190,1337
149,854,2,2,13072,1161,1391
150,51,16,5,1860,1500,1142
151,575,6,3,11374,133,895
152,1149,19,1,4808,1316,380
153,1716,8,3,12266,1179,377
154,682,14,3,3498,1677,1173
155,838,16,3,15030,1428,1426
156,1078,12,5,10615,70,755
157,1596,5,2,14805,1079,83
158,5,19,1,3661,1016,1439
159,1127,18,3,10707,1294,200
160,1220,9,1,13118,1894,606
161,774,2,3,9916,1160,208
162,877,20,2,17992,1765,1226
163,992,12,1,6931,502,599
164,47,2,4,8295,391,189
165,269,10,2,3547,442,341
166,370,1,1,13780,1425,1215
167,636,4,3,5684,1319,303
168,1130,12,3,3891,1759,385
169,1694,9,2,9452,1052,130
170,1683,4,2,17317,1186,97
171,657,9,3,14798,1020,272
172,120,6,1,10290,1656,255
173,831,1,4,5435,207,112
174,1811,10,5,6360,860,1077
175,1082,14,2,15705,1310,1447
176,1975,18,3,18659,748,241
177,1370,6,1,9673,1316,915
178,741,18,2,2888,215,1383
179,117,20,1,11113,83,980
180,1854,16,2,12469,304,1004
181,1151,15,3,6821,351,862
182,1932,16,1,7412,269,271
183,1013,8,3,15012,1105,1407
184,1665,13,1,4716,1985,161
185,1082,11,2,1095,984,330
186,634,7,5,456,1842,1428
187,513,17,5,1793,558,601
188,1120,18,4,2690,1555,1355
189,1142,19,4,9634,1306,1322
190,560,13,3,8021,1002,365
191,488,15,1,1791,264,1430
192,897,1,4,9374,1315,321
193,1213,16,2,18541,294,526
194,704,5,5,3004,69,266
195,1471,3,1,11487,259,507
196,581,10,5,11709,1795,1282
197,154,19,1,7037,475,947
198,1680,5,4,18864,1049,1392
199,997,7,4,8308,1030,810
200,1244,14,3,15883,121,931
201,1093,3,1,8615,1747,1395
202,1009,13,2,2170,227,173
203,2142,13,4,17414,1596,1229
204,1774,10,3,12846,1948,963
205,958,2,4,13871,348,614
206,453,6,5,12944,315,1468
207,1228,8,4,17928,569,81
208,551,4,1,12328,1568,1444
209,1636,12,3,19886,324,889
210,1313,15,1,18005,1778,1102
211,1758,8,2,3198,1896,1185
212,357,7,2,18671,997,485
213,2071,14,4,19052,1844,1192
214,1786,19,3,11085,102,1490
215,1782,14,3,8383,861,1217
216,1632,13,3,13655,1681,330
217,1016,1,3,5040,1889,1105
218,1349,19,4,4862,1895,1210
219,516,1,1,1853,1473,835
220,336,4,4,5154,1487,122
221,1783,10,1,13376,1677,47
222,497,3,5,5881,1997,527
223,896,20,5,16571,1729,153
224,852,9,1,18125,538,78
225,1688,3,4,3062,551,1133
226,1932,6,2,5513,356,89
227,1569,6,4,7520,466,204
228,957,12,2,8842,558,1481
229,1637,1,4,10738,970,591
230,1292,16,3,7010,1603,187
231,1441,5,3,10582,687,597
232,1192,9,5,12129,715,1167
233,1067,10,5,8915,55,1256
234,285,13,1,3857,471,201
235,12,15,2,4896,1524,90
236,1631,12,3,3392,1500,575
237,754,5,4,3932,439,871
238,2083,5,1,2711,383,1238
239,90,18,4,8453,1521,1335
240,776,12,3,10374,387,1100
241,1626,3,3,8328,897,702
242,418,7,3,11168,1161,1343
243,115,17,3,3446,318,337
244,617,19,4,4154,114,1414
245,826,18,1,16092,727,1126
246,1650,1,3,4300,1137,848
247,1517,5,5,14591,1343,113
248,413,2,1,8627,706,286
249,729,1,5,14345,1450,1419
250,676,7,4,10635,1918,1204
251,1893,11,3,18044,830,633
252,1123,11,1,7622,378,521
253,1572,18,3,13273,1975,1420
254,978,17,3,4264,567,1155
255,1009,2,1,12538,1706,597
256,2144,7,3,4952,911,651
257,1688,7,3,6813,470,298
258,37,10,2,3283,1386,773
259,1549,3,2,8132,358,1476
260,873,12,1,14375,863,261
