production_id,date_key,product_id,facility_id,quantity_produced,defective_units,batch_number,defect_rate_pct
1,47,8,2,5033,221, 6e0d18fb-d5ff-4b34-9ada-dd6c6c27808e,4.391019272799523
2,760,10,4,4325,197, e368c406-f725-4be2-a045-e284643b7cdc,4.554913294797688
3,606,12,3,19767,460, 5dec1dc2-44a9-45a6-a069-f3f3fcaab67c,2.3271108413011588
4,106,8,3,1329,120, e7b8ad00-066f-4afb-ac44-81c51e9746e9,9.029345372460496
5,740,7,2,8260,190, 5e6a93fe-ff86-4b90-8956-8f43bf7b1dfb,2.3002421307506054
6,907,2,2,2855,465, 0844f678-efd4-44f7-a60a-1b91dcd9e347,16.28721541155867
7,792,12,4,3400,337, 323fdc6a-9844-480f-a0c3-9b89c5680c15,9.911764705882351
8,2044,20,3,11149,214, 4e3ae570-08f3-4ea7-97e2-e189421bbe60,1.9194546596107276
9,1559,11,2,19692,227, 16e32e0e-70ab-4962-8616-1dae03f8b64c,1.1527523867560432
10,2165,9,1,362,411, d1c29627-7bba-43a6-93a7-5ba75b012c74,113.53591160220996
11,70,5,5,12743,176, 4b2de0b7-77b4-451d-8143-4017a784f3a6,1.3811504355332338
12,1099,6,5,17304,133, e650f019-ceb4-489a-95a1-44af662c7028,0.7686084142394822
13,135,7,2,17714,143, f73e3081-4250-4e43-917b-011f971976d7,0.8072710850175003
14,737,14,4,8254,408, cc08fdd7-c79b-4328-a58d-d4da78c88964,4.943057911315726
15,138,18,2,3796,11, 7d4a8e63-0f95-4ad4-a3c4-ab1e6c83a00c,0.2897787144362487
16,1877,15,4,2653,251, 120986e6-1492-4f47-a69c-aa8227c5b2e4,9.460987561251413
17,1438,1,3,3816,169, 96a57668-0626-4141-a5f6-be5e199b0671,4.428721174004193
18,1456,16,1,16014,411, 0a0694fc-3e06-409c-bbdc-1c63d5a8f419,2.5665043087298614
19,217,15,3,11465,284, 342b8736-3f39-4b53-82ad-dc71571be24b,2.4771042302660278
20,387,9,1,14888,309, 918454c8-c0a7-4df0-b666-50d313d5860e,2.0754970445996777
21,1158,7,4,7866,346, 6f1e6f9a-eea1-464f-9b5f-7e7f4a0a1af8,4.398677854055428
22,1339,12,2,14064,460, d75aeb31-746b-4993-90a5-c33c23aa41e2,3.2707622298065986
23,923,9,2,9641,463, 82f3b840-5b8b-4d09-aa78-c7ddad3544cf,4.802406389378695
24,595,12,2,7760,85, a69d51d0-5948-48d5-8722-9686c867ee05,1.095360824742268
25,36,11,2,9669,275, 7e0e973b-3524-4eea-9c18-917442d81938,2.844141069397042
26,829,3,3,17765,250, 270c4eb5-370d-4871-af97-d030f9ab601a,1.407261469180974
27,1767,13,3,15421,288, 65178260-93a0-4cbf-bf09-727a6eb2135a,1.8675831658128528
28,1636,5,4,13229,198, fc53e66f-6d01-4195-b29f-e2f856f20924,1.4967117695970973
29,711,18,1,6072,227, d87a9155-3053-4fbd-85e3-9309fabbec14,3.7384716732542818
30,2040,11,1,16088,491, b862c8b9-ef29-466b-ab6b-5d205a3e6f7f,3.051964196916957
31,1166,3,1,14712,392, a5c43ab5-266f-4304-8c53-e77b20822652,2.6644915715062534
32,1548,9,2,17205,115, 71b9d85b-5e01-4c34-a421-083fd735b8f1,0.6684103458297006
33,723,8,3,7832,394, d0e9ed59-c1fa-4d6d-91ef-34fab1eeef20,5.030643513789581
34,1485,8,5,6976,344, 0007cdfa-163a-4a81-bf71-72e855ce5470,4.931192660550459
35,2033,13,5,5589,288, dc214eae-35c5-4792-a455-84be8e33f435,5.152979066022544
36,323,11,2,10021,41, ee816b74-c605-49d3-b6ed-1b38eb5b33ba,0.409140804310947
37,930,6,5,11714,366, bb58ce6d-be45-4954-874e-f4bdebe0ba94,3.124466450401229
38,1837,13,1,17706,339, edd52160-4832-42a3-bdbc-4dacabadf3ad,1.914605218569976
39,1161,11,1,17415,225, b951934a-3e9c-41c0-afc6-3a0db0c1131d,1.2919896640826871
40,1418,14,4,19336,314, db48757d-69ab-43e0-a29b-676dff170a70,1.623913942904427
41,1693,14,2,5365,186, 7bfb26b0-3833-43d3-b75e-764ad92aa28a,3.4669151910531224
42,2109,19,4,12461,24, 7c7383fd-4648-4bf0-a7f4-1419f2145b4b,0.1926009148543455
43,1974,5,1,18252,369, b845f6a8-806b-490a-b323-b0f3222b9db4,2.021696252465483
44,1825,15,3,1218,107, b4bbe351-4a28-4f5e-8ae2-aaade0b63f9b,8.784893267651888
45,1559,13,2,10675,462, cdf11d56-4c4c-40fb-8083-4ee49f52e93a,4.327868852459017
46,1984,16,4,9590,410, 7a49e72f-0a85-4594-ad62-3eb4af967d32,4.275286757038582
47,1848,19,4,13725,497, 7a26ffb2-91de-4fd5-aca0-7adf06319822,3.621129326047359
48,683,17,1,11655,480, 429fa47d-1403-4661-a0e3-b51201b43871,4.118404118404119
49,2132,16,4,7347,222, 8ecead03-c824-491f-a440-cbf7f82c1631,3.0216414863209478
50,826,14,1,10448,142, 9ce03736-a30a-4239-ab22-3e03d8d4b3eb,1.3591117917304747
51,1520,17,3,8279,76, 47ef31be-37ef-4a11-bba9-4116cd05e668,0.9179852639207632
52,932,7,4,3820,40, 7d5c87ba-52a8-46c4-a9b1-cfdeda10c6e0,1.0471204188481675
53,646,6,1,380,335, e928b9b2-88f5-4b45-8312-949ea41cf773,88.1578947368421
54,193,5,1,11943,221, 12a8b9c2-9504-48c3-a536-961abb7b38b7,1.850456334254375
55,1724,1,3,16540,464, bd183850-111b-41c7-ba33-cff868c2a89b,2.805320435308344
56,500,16,4,16574,209, 59862950-4136-4b68-8ca8-1d5d0014d4e5,1.2610112223965246
57,152,14,3,103,404, 2b7ea2cc-16be-40ac-bfaa-a8bc9d86b2b0,392.2330097087379
58,669,2,3,8824,351, 7c99beb6-1d0b-468d-81e4-83f9b25818aa,3.977787851314597
59,1544,4,3,8706,459, 2d136ff3-a073-49f6-b390-182d48313d38,5.272226050999311
60,575,1,4,8927,118, 75c06609-9025-41e1-a75e-b93cdd0b7ce0,1.321832642545088
61,1561,2,5,5428,56, 2b561f14-74fa-4a00-81c0-687c4550a07c,1.0316875460574797
62,2039,9,1,8554,256, bf233556-4c03-4401-96bb-f1f91522f876,2.9927519289221416
63,317,1,1,9036,332, 08c426b1-bedf-468d-8760-33a9161c125c,3.6741921204072594
64,1661,20,3,14014,199, 748b3c51-65fb-41a9-b619-1bfdf691f803,1.4200085628657055
65,987,16,3,6358,43, 064c1cee-e1f8-469e-90f5-c38b251d29a2,0.6763133060710915
66,1267,14,5,410,240, 9864a26d-34e8-4e38-a852-544f72c5b9f1,58.53658536585365
67,1562,13,2,11278,488, 9e47e0fb-0606-40c3-8be1-d5246f1ed442,4.327008334811136
68,2132,19,1,208,249, 22ce91ee-8cdb-4b7e-bd09-49dc7375399c,119.71153846153844
69,196,15,2,2433,333, 22d123d1-6a87-4cc3-a17b-349d469d4117,13.68680641183724
70,1159,18,3,5325,79, 6c88df19-f6e4-4faf-b85a-bb894d269b2d,1.4835680751173708
71,1977,3,1,4195,49, 6964bcfe-d7bc-448a-ae20-d65101fb3316,1.168057210965435
72,1854,15,1,11815,274, 30935964-2628-4d19-ac90-27f7dfb977c0,2.319085907744393
73,378,15,3,4256,73, 2ac84a9f-9b41-4af7-a473-c5c36af03881,1.7152255639097744
74,2166,5,2,2394,190, fa56a75e-d9fc-4315-9afa-56b49fcfdcde,7.936507936507936
75,1938,13,2,15897,222, 63f20c93-92de-467c-87cc-1d977efa4138,1.3964899037554257
76,2074,20,4,15736,483, 0b97f5c0-53b5-42f1-8949-d8e8faa8b465,3.0693950177935942
77,239,16,4,437,450, 15cacd1e-f81a-40cc-9b42-b3349b33f2e6,102.97482837528604
78,1114,20,5,16116,129, 78688275-7c65-4b6e-b7df-e44539f5a85b,0.800446760982874
79,382,15,5,17096,484, 681dbd04-7249-4353-98b8-1b34b0de5a28,2.8310715956948997
80,1656,14,2,7895,145, 867bc93c-957d-4966-a5fc-75f0f8117771,1.8366054464851167
81,1042,9,3,19295,141, 4f30a668-8dcb-407b-bf75-f180024420ba,0.7307592640580461
82,664,18,2,7023,449, 6f4c1ef4-b1c7-49fd-9221-804597c2b04b,6.39327922540225
83,502,17,1,19802,151, dd23f5da-6eab-48af-b90a-eb7fc8458bb3,0.7625492374507625
84,620,5,4,2835,317, f3c6d129-49d9-4f04-ab99-12301d1c6d7f,11.181657848324516
85,1679,15,4,10873,65, 69587e32-a0b2-48f6-ba40-07b232035f45,0.5978110916950244
86,1920,11,2,3530,23, 30e7013d-c87e-45c9-9742-4234feebe16e,0.6515580736543909
87,217,12,1,7504,461, 751eb479-a17f-4358-81c7-c9f7e15edd0d,6.143390191897654
88,2072,7,2,2902,183, cd29a0f8-c9f7-45eb-b3d3-44fedcfb754f,6.305995864920744
89,1518,20,2,18615,256, 262bc3be-8726-4a2c-b994-97ff4dd53f9d,1.3752350255170562
90,1786,9,2,15405,45, d8a8e799-1493-46d0-934b-986232d15ead,0.2921129503407984
91,1000,3,1,11625,116, 51f462bd-921f-46c4-bf95-ad808c413ff0,0.9978494623655916
92,1493,17,4,19809,74, f7f009d3-688d-488b-ae0a-cc1cd8fd3776,0.3735675702963299
93,1857,9,3,2401,14, f0df6b20-79a0-42a9-8c63-daef67f4c811,0.5830903790087464
94,1562,11,5,5628,376, 9aee3dc0-10d4-476e-80b2-6cf9d56c973b,6.680881307746979
95,330,14,1,14048,391, 311afa07-9544-4e77-a237-a5cb3b118cb2,2.783314350797266
96,1858,10,4,15416,412, 43d9aa0a-61b8-4b37-9b14-a6f613a619df,2.6725480020757657
97,936,4,2,16867,285, ffe94420-ab05-40ac-ad28-ff21e73c6c3d,1.68968992707654
98,1465,16,3,8416,233, ea4f06b4-1e81-42f5-9e91-8b483149fdfa,2.768536121673004
99,423,16,5,19063,344, 1c957f80-4350-4476-8982-3e8971d21436,1.804542831663432
100,1665,12,5,6886,322, c2d57160-6cef-408b-8a26-05c544ff5ccb,4.676154516410107
101,1182,6,1,12835,497, 40ae2028-a84c-4d81-9b37-472718f4e253,3.872224386443319
102,1691,7,2,9194,256, ce5ad581-de8d-4778-8da0-01b01809c659,2.784424624755275
103,700,8,2,18767,474, 4f2991e4-59d1-43c8-9839-55880a143ded,2.525710022912559
104,113,6,3,16297,151, 2d7cf12f-e357-4c5d-9b3c-51d0e10946d7,0.9265508989384548
105,542,7,5,18744,279, bafabdf2-834b-4b99-acb8-1b324610ffbf,1.4884763124199745
106,941,9,1,10767,103, 21d76909-82d8-42b7-8886-2b48b9f3a274,0.9566267298226062
107,1781,16,2,4963,130, 9b524200-b0aa-46f0-9c3b-d93f5ffcffeb,2.619383437437034
108,1557,13,5,16909,448, 385791a3-8078-4b46-9d13-aec2b56ca591,2.6494766100893017
109,2001,15,5,7453,56, c7b0cb40-0de0-4c09-bb81-023ba4848837,0.7513752851200859
110,18,18,4,3735,326, 24db36cb-3a00-463f-9d12-590e5c241e3e,8.728246318607765
111,1484,4,3,9767,277, 5c71dda0-ba04-4915-a918-0c91fd3e0f6d,2.8360806798402782
112,159,5,2,8212,118, 66b62750-63b9-446e-ae9f-788f80c474d0,1.4369215781782758
113,1034,8,4,8431,373, a7c1c422-958e-474b-bf23-50f521f6c1c4,4.424148974024433
114,873,4,3,10450,266, acb41cda-bffa-4f21-a9fb-ce7bbad94323,2.5454545454545454
115,1786,17,4,19525,451, 583d3faf-ce9d-4e74-9d3d-ca5e74543298,2.309859154929577
116,1039,17,2,214,81, f89b25d8-e1f9-46bf-af5f-746d6c957f2c,37.85046728971962
117,565,2,1,5662,394, f833e4ba-cfee-40a6-99f1-df44799f39cb,6.958671847403744
118,699,16,4,139,224, de4b0b1a-d296-48b8-9c3e-6a52ac84755a,161.15107913669064
119,1962,19,4,19989,106, bd917c16-392d-4935-9927-4518aae351f2,0.5302916604132273
120,1769,7,5,16593,104, 917f1934-92ae-4d1c-a97c-55341eb041cc,0.6267703248357741
121,890,11,2,17020,65, 9b598cc3-5e83-46e0-8889-e7a6671c1014,0.381903642773208
122,391,1,4,11070,437, 41be9ec0-ade5-45d6-980f-3bb689f78023,3.9476061427280937
123,2187,18,1,6179,214, bc954d7d-b05f-4644-af9e-2fd467cc85fe,3.4633435831040624
124,1437,7,4,7622,472, 90b6171a-db50-4b2b-b40e-05570a0b47bb,6.192600367357649
125,1698,13,3,2148,8, 08388b3d-f467-474a-8a18-4f79106af48d,0.37243947858473
126,2173,3,1,13288,19, 70307e6c-542a-4d25-84ec-3bc57e5bf74f,0.1429861529199277
127,281,9,1,5647,109, 02b7f2d7-3a6a-4678-90c1-126f3f268db6,1.930228439879582
128,2150,17,4,16067,238, 38b8a6bd-2d19-4adc-acf2-e37d023dbb02,1.481297068525549
129,1400,2,4,7568,264, 4b57ee6b-6900-4a2a-92d2-31d3c8e048fe,3.488372093023256
130,1629,15,5,7709,188, be8b9890-9e83-4313-83ad-721fb5c05cc2,2.4387080036321183
131,1215,9,2,16140,398, d54a3cac-17bd-47dd-a6c4-c02e6cb327d3,2.4659231722428747
132,2059,7,5,5895,60, 87b76157-b6bc-4b8d-b015-dbffb1365bb2,1.0178117048346056
133,1724,19,3,3725,251, df40f0c8-e94f-4924-912d-4216237840cd,6.738255033557048
134,1270,11,2,16173,489, 108b7220-8b77-441d-9e2f-05beededeb92,3.0235577814876646
135,2180,18,5,11526,417, 3509eca2-f0f4-4990-bc97-1777b2b5dbdf,3.617907339927121
136,415,17,5,9593,127, cf05ab29-ab2f-4326-90f1-a85aee0b11ae,1.3238819972896905
137,568,4,4,5018,462, 16efd443-11da-4a70-aa13-7c3981b472e7,9.20685532084496
138,1580,2,5,9234,352, 796b34a9-9a2c-4243-b83b-cea621df5cdf,3.8119991336365606
139,1745,17,4,15099,235, 8b6c83ae-c5f7-459e-b8c9-307fe16a604a,1.5563944632094842
140,261,20,1,6275,149, e6a6051a-f3e9-4d65-805d-951f12a1168e,2.3745019920318726
141,1731,1,2,16712,179, 18f46023-72ff-4f77-97b6-5b781ce4cc6a,1.0710866443274294
142,1011,13,4,11732,483, 36241263-74ad-4900-9ea7-6d2152bfcaa8,4.116945107398569
143,580,10,5,877,332, a590a508-8c17-4272-83ef-3b8c3b49e895,37.8563283922463
144,970,17,4,470,169, 286d8970-939e-4a54-bbf2-956e610be61b,35.95744680851064
145,1653,17,1,16585,13, ba35432a-5645-405b-9e02-0fdf5b307044,0.0783840820018088
146,95,11,3,19726,124, 4550f68c-015f-4f74-90cd-c0968bc538ab,0.6286119841833113
147,2064,9,3,6762,105, 441cde1a-40f3-4554-b54c-a45abe9dc2f2,1.5527950310559009
148,2023,3,1,13203,234, b85bddf0-00da-4a0f-841c-9faab1fcd21d,1.772324471710975
149,1135,10,5,4784,14, 11f872ef-2a2b-4415-9a13-842260b18ac7,0.2926421404682274
150,326,17,2,19246,32, c5ce9860-e683-45a3-91c5-f74788ea0dca,0.1662683154941286
151,1246,16,2,7238,386, 83087c40-2a49-48ed-968f-3e10b5e6ccbb,5.332964907432992
152,875,16,4,18667,262, 074f3da0-5e63-43ae-b199-8dd82883c944,1.403546365243478
153,94,15,3,4666,301, d7f78754-c356-4dc8-8584-bf64e4b792ac,6.450921560222889
154,997,13,1,10346,432, f0e875b9-a66a-4d69-bd90-5af1acd46aea,4.175526773632321
155,336,2,5,9069,423, d27acff3-2554-48d9-a34b-2358213a0e42,4.664240820377109
156,1525,6,1,8687,40, bab03a12-0b4f-40ef-b2bd-bcd74bf27e9a,0.4604581558650857
157,164,3,3,16962,243, b492da6a-5fdf-4b9e-b56d-1c47611afb2e,1.4326140785284756
158,1410,1,1,7726,52, b12c2872-198a-4846-af11-12cab7028420,0.6730520320994046
159,368,17,1,8445,55, f9c6f0bf-e78a-46e9-9b77-18096f86ac8d,0.6512729425695678
160,319,1,1,8214,68, 6425d7ce-5d33-43dc-be7c-47931093ea81,0.8278548819089359
161,1279,11,4,874,281, a4581155-a477-4d16-bbaf-6152c7786dca,32.151029748283754
162,1855,4,5,17799,371, 51832246-7ef8-4e86-92db-90fc21fed8e3,2.084386763301309
163,1809,11,2,7786,484, 6f221d2f-b759-4d98-818d-00ed2ff47a41,6.216285640893912
164,1444,13,5,15757,257, fcc4c022-431d-47a5-ba35-56da3d66a710,1.6310211334644922
165,1952,17,3,18887,305, d63b24c2-204e-4ab7-9b85-9f1dd3c2bba3,1.61486736908985
166,187,20,2,6997,124, 118d51b7-f9a4-402e-b010-a098d11e0bf2,1.7721880806059738
167,2073,13,4,3353,256, 9cc5be4b-1178-4f9d-9fec-2f3cfb72c975,7.63495377274083
168,2190,17,2,3128,67, 87db6d96-1b42-49ea-ab19-ed092db1c498,2.1419437340153453
169,428,2,2,7258,411, d9603483-887d-4e8c-8fde-d5dcfaba9766,5.662717001928906
170,1148,2,2,678,105, 5aac3ae1-724d-4622-9d25-08cf186436f1,15.486725663716811
171,25,18,1,8394,375, e11e7a49-26a5-4a86-841e-4900a8cf3348,4.4674767691208
172,1827,6,3,17777,377, 9a12320f-1910-47d6-9b16-76e7dddd17fd,2.1207177814029365
173,477,2,4,18526,57, d7b0db70-58f9-4460-82e5-13552a545e7e,0.3076756990175969
174,1487,11,3,4540,57, ae90cf59-4d12-4ac5-a36a-e9494322f5ba,1.2555066079295154
175,1455,17,1,18504,137, 95d256ca-3866-4fc6-801f-7b14da2ea13b,0.7403804582792909
176,1256,9,4,16051,142, cfecb86f-fd63-4c3e-926f-0c0087c61485,0.8846800822378669
177,1681,20,1,18738,273, fec487af-0aea-45f6-b63a-4643a7ee2f8d,1.4569324367595262
178,1047,5,4,9811,237, 330f79dc-ab2f-466d-99a1-7065c561875f,2.415655896442768
179,2030,20,4,19963,422, 82485791-70c7-46a9-847d-7fcc76c6db2c,2.11391073485949
180,122,15,5,12940,190, b783d8d7-bb94-4d46-89a0-f6b825ee3f6f,1.4683153013910355
181,983,17,1,14123,139, cfbea509-bc2f-4460-ac9a-37c8586671f4,0.9842101536500744
182,1254,10,3,4445,199, 90fdf51d-a0e3-4f30-b632-9ccfc7d321e8,4.476940382452193
183,17,6,1,18841,381, 2a7e77e5-6608-4f30-90a5-75ed7746f5f3,2.022185658935301
184,1309,13,1,1760,169, c03b9b17-28e7-4d77-bd62-22d9b269c02a,9.602272727272728
185,2,16,1,14541,64, 81511a6a-677d-4229-aa0f-5fc492b72194,0.4401347912798294
186,267,2,5,19901,162, 1ad0a9f6-f769-4f3d-8339-837dbe8bcdb8,0.8140294457564947
187,1552,20,5,13813,325, 5c99750e-0758-4e06-946b-4126e8659b1a,2.3528560052124807
188,1873,5,5,14965,246, 452d73d9-0524-42a4-919a-3e8e4c16fa88,1.643835616438356
189,1557,17,5,17160,45, aa5f22c5-7a3e-4f0d-8730-98ee47d58b46,0.2622377622377622
190,251,7,1,8387,143, 0d60742d-080a-4a6e-96b9-c89e0b829f27,1.705019673303923
191,277,17,3,12222,404, 3b9b2422-93f0-47ad-93d7-ef84c14fa473,3.3055146457208315
192,1030,5,2,4410,54, 7a4db8c0-b0f3-45ff-af2f-7b863e1e711d,1.2244897959183674
193,1838,6,1,19246,268, 12863e41-b362-4de4-9fab-a96c0b3878d6,1.3924971422633274
194,1261,10,3,7106,389, ff3b48f9-0a8d-4e58-a80a-45937fbd48f3,5.474247115113988
195,1850,5,2,19869,358, a544a6db-1dac-4697-9b01-c4fb636d958d,1.8018018018018016
196,1721,14,2,3206,115, dc3b8a01-2926-4662-91e0-2cdeb5e9115b,3.587024329382408
197,1981,20,5,13766,412, 7f1843bb-4f98-42f2-bbb0-39156845c797,2.992881011186982
198,941,14,2,19863,129, 22475189-2f47-4bff-94a1-0b517ce0eb16,0.6494487237577405
199,1055,2,3,11602,375, 40704d49-3918-41b0-853e-b5ecc9c8ba27,3.23220134459576
200,473,9,5,18352,304, cef6465a-212a-4ed9-8004-b29ccdb69419,1.6564952048823016
201,514,18,1,8429,323, 41064862-94d7-49cb-9ba8-19adba183376,3.832008541938545
202,1366,18,1,659,339, fc8e802e-bf06-43f8-96b5-43f4a10a43eb,51.44157814871016
203,300,9,5,19368,48, 8dd70267-be30-4140-83c5-47cae8e89ba4,0.2478314745972738
204,2123,5,5,10147,135, 783b2db8-0d10-47fd-98d5-37e415d73a69,1.3304424953188134
205,76,18,2,5586,181, 2286ad25-873d-4c38-ba18-39fd3ef22ceb,3.240243465807376
206,460,12,2,11156,1, a0d75058-725e-46c8-91f7-6e169c6aaf19,0.0089637863033345
207,1565,6,3,17583,387, 8cd7a3c5-35a0-4519-9184-d317c43e00c7,2.200989592219757
208,1840,17,5,17232,118, dc25531e-32a5-451d-8654-8b5d58846682,0.6847725162488394
209,1864,14,1,12831,488, 669a0153-f650-4952-a53f-9dc5fdfce06c,3.803288909671888
210,1599,10,3,5693,358, ebeafff9-061e-40d3-b9a6-553559e0ba16,6.28842438081855
211,661,19,1,14403,81, 52a7959c-8829-4582-8a5f-cce4f634cda2,0.5623828369089773
212,1220,3,1,18560,173, 3cb57de3-d42f-4dbe-a574-dc03064800e3,0.9321120689655172
213,1880,10,3,10497,32, 1bac27d4-0d6e-4265-8b6f-2fef2b8da4b0,0.3048490044774697
214,1472,14,1,17024,9, 4082b613-085d-44d8-a6bb-44e0d88f26ff,0.0528665413533834
215,1801,15,5,7007,316, a0e95207-2f50-4076-a643-7fc10ff918d4,4.509775938347367
216,1098,16,5,4670,102, f58c161b-1bbf-4c94-a537-e1fbd68fa68b,2.1841541755888647
217,1099,6,3,8498,440, 89899820-60b1-4902-be2c-c04dbe8f52a9,5.177688867968934
218,1121,14,1,17991,81, 149c8a96-2f36-4b41-9c71-559e5c884239,0.4502251125562781
219,1415,4,1,16831,466, f6e5e716-98d1-4252-8049-3137617f816d,2.768700611966015
220,28,13,2,11309,478, fec91ec9-4d2c-4c9c-9a5b-0f73614a4a68,4.226722079759484
221,119,8,4,16261,364, 251fd1fd-fc62-46bc-844c-1c48a90ac44e,2.238484718037021
222,1608,9,3,17954,206, 3a95c2db-7db3-4453-aed5-7d5953f56ba5,1.1473766291634178
223,150,11,1,1007,179, b3d039bd-4ac1-4918-9167-e23fc0e5124b,17.775571002979145
224,682,5,3,7896,120, 314492b4-8c8a-46ff-9d87-4886729a47e7,1.5197568389057752
225,1696,5,2,10083,358, 6c1d3ab4-5f3f-4214-bfd1-737fd44e747d,3.5505305960527624
226,1166,18,3,2523,225, 11862074-c2df-49f8-84c5-54608ea10fc5,8.9179548156956
227,762,16,5,11993,51, 964a957e-dfc0-4460-9605-f38b1cb4d74e,0.425248061369132
228,183,19,1,6740,83, f5b821ba-83c7-485f-b3ed-615d11af938c,1.231454005934718
229,1095,9,2,8643,31, 70870955-8e7f-4e42-a94c-f15b97f0b671,0.3586717574916117
230,173,11,5,1270,125, 97231b30-c159-42ef-a2c8-5590f4d7d315,9.84251968503937
231,1858,11,4,3246,383, 43ae06b5-c2b8-47a4-b422-d0655887c880,11.799137399876772
232,355,14,4,14516,435, 1ba7d108-172f-41ee-99b1-89bde26a471d,2.9966933039404795
233,733,10,3,13567,283, 5ee21e14-89ba-44cc-83a4-046abf5f24be,2.085943834303825
