shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
1,532,31,7,4,3,160, FedEx  , Delayed   ,806.8109803622209,602.0966910651102, 510e5c3c-8d01-4bc0-8662-5f97dcad1dbf, Mechanical
2,1566,1152,3,4,2,492, USPS   , Delayed   ,141.492422873119,1593.591606707838, 14a67a18-83eb-48ae-a001-e9628532e9b4, Customs
3,262,1971,13,3,2,617, USPS   , In Transit,848.1474661212156,22.29250255600253, ed2867b1-bf9b-46c5-8846-ff93fccadc99, Mechanical
4,1394,856,4,2,2,673, UPS    , In Transit,922.1218710746388,388.8688830195879, 7f809c0b-543e-4f57-acd7-f3fac3dd499f, None
5,282,753,13,3,3,140, FedEx  , Delivered ,758.8720134197558,1795.8873233682968, 9d024083-a274-47fe-a54f-afde59b95a52, Customs
6,2029,1767,20,2,4,55, USPS   , In Transit,639.2949837837424,634.906692410522, f8d90832-eac2-4e01-8c57-b372b489b7f5, Mechanical
7,943,1006,2,5,4,107, DHL    , Delivered ,982.9718241170656,282.23030539433165, 2c27543a-645a-4248-b406-907fc5c79cb9, Weather
8,173,265,7,4,2,858, UPS    , Delayed   ,852.2330952392255,561.8961746629517, 4f4a8837-d648-4f07-847f-9a2db00775fe, Customs
9,545,863,19,1,2,69, DHL    , Delayed   ,616.33219135426,644.8726238492023, 8e1e5efb-3a7b-48a7-9477-93c7f2862cbb, Mechanical
10,1900,1010,1,2,1,533, FedEx  , In Transit,802.1097792966139,454.3305941019337, 92d51015-46ec-4d9b-8a10-beb522b0178b, Mechanical
11,1163,1087,3,1,2,314, DHL    , In Transit,48.19446844700902,1407.3698102632356, abb454d3-7946-4859-aa88-90f8543b3f9a, Weather
12,1018,796,10,1,1,228, UPS    , Delivered ,292.9581471820194,1036.1623721750695, e89d7909-df44-4709-ba73-27fd7a3de95d, Weather
13,401,1747,13,3,5,292, UPS    , Delivered ,455.83842180564295,793.0929270692753, 44be805d-c704-408a-9006-92d3a4aee8b2, Customs
14,459,337,5,4,5,287, DHL    , Delayed   ,710.2874325781684,685.7220928822182, 34da92bc-5cfb-46d9-8747-d55d66dacfa9, None
15,2127,313,20,2,3,897, DHL    , In Transit,94.87210414140966,1599.1765797360838, c087cc1a-a2ca-471c-b315-af035dba018e, Customs
16,837,1808,15,5,2,512, FedEx  , Delivered ,758.7651589750508,949.5305512718464, b79c15a6-acd5-49bb-b1e3-552b4cc7f573, Customs
17,256,932,14,2,2,130, USPS   , Delayed   ,558.8469106394857,664.9582193214163, dd46d725-7019-4e22-87be-79fdd2284de3, Mechanical
18,61,1486,18,3,5,695, UPS    , Delivered ,318.74051119127387,753.8941053128267, 1de08095-5894-46b9-af9a-83b017321ddb, Weather
19,20,614,2,5,5,378, UPS    , Delivered ,304.1400148638319,1914.1882099329623, 3feb17d6-3c3f-41d3-a370-714c394478ec, None
20,1313,2177,1,3,4,915, UPS    , Delivered ,738.8028913205254,466.8938491080913, ed6e009e-e212-4916-b82e-1dd09d69affd, Customs
21,519,1214,3,5,2,687, FedEx  , Delivered ,671.4479336652757,971.106875588188, 03b62b96-e6ba-4bf8-8dde-d9820d895739, None
22,1166,869,2,5,1,113, FedEx  , Delivered ,299.41940592491386,1031.3031781645702, e107adb2-f6b7-4019-9791-e109987459fe, Weather
23,1970,915,10,2,5,566, USPS   , Delayed   ,921.0986184751127,1393.9145818581096, ff2aecb7-27ed-4269-a61d-0b18c364f595, Mechanical
24,1647,1310,2,1,3,514, FedEx  , Delayed   ,851.3869687748893,1386.7413769694142, fa9d475f-c05a-4940-9b32-1b3b9aa15e95, Mechanical
25,244,724,19,4,4,450, UPS    , In Transit,430.36142783136376,13.00540025207945, 7243b19c-5845-416b-88e8-e7378ff5b7fa, Weather
26,1285,1065,4,4,5,693, FedEx  , Delivered ,360.25385816226515,512.7080602549834, 8eefe734-40c4-4bf7-88df-788c7713b09b, Mechanical
27,827,40,15,5,2,406, USPS   , Delivered ,776.3880753018985,439.8423513930699, cb8ce5c6-ed03-4d1d-8abf-f781c197a351, Weather
28,897,2126,17,3,2,529, UPS    , Delivered ,383.64967161665936,433.4154357845156, 8437074a-d815-4096-af3d-1bde4209a22f, Mechanical
29,2145,216,4,1,2,199, UPS    , In Transit,457.40672793609866,832.9912206994093, 886aa2b9-e7ce-4078-8fbf-a7e8ea743b05, None
30,1521,155,2,2,1,885, USPS   , Delayed   ,679.5607405999904,740.5061180277542, 07fb3950-9b8e-4c1b-8c3c-a2f586030a34, Mechanical
31,269,772,15,5,2,467, FedEx  , In Transit,624.0859239341912,1874.052840786382, 36f14c91-adce-486c-9c19-36d0164ecc03, Weather
32,1277,888,6,3,1,831, DHL    , Delayed   ,885.8211335372639,1454.0337204661778, 2194d9d5-2983-43d3-a224-d479faeff87d, Customs
33,1461,1725,1,4,4,46, USPS   , In Transit,703.0829924724567,896.6193419262125, 8c99ef42-b85a-4ec2-96ea-16c84e02285b, Weather
34,1773,611,1,1,5,379, USPS   , Delayed   ,131.8759699010243,1200.92060945528, 37402a14-b465-4b8c-9567-595448af86bb, None
35,1235,648,10,3,3,852, DHL    , Delivered ,886.235094735367,1641.2828349510382, 3d63c2e2-0146-4126-95b4-5cdf08875336, Customs
36,491,1859,14,3,2,501, USPS   , Delayed   ,738.4778106344846,806.8501518029783, e3d57bf7-d5be-4927-82a8-981cdcae92bb, None
37,641,1874,3,4,2,556, USPS   , Delivered ,507.7526271206635,513.2550890778476, 8c22fa2d-cbbe-4a5a-8edf-0454017b92af, Customs
38,1107,1978,16,2,4,581, UPS    , Delivered ,929.8158070898238,170.3515021278547, fc1cc88c-bfbe-48b8-ad0c-7ff3874edddc, Mechanical
39,555,426,10,1,4,813, UPS    , Delayed   ,393.847375562556,769.8477679626627, 99792248-a641-41df-9581-598675dcf197, Mechanical
40,2021,192,10,3,4,170, UPS    , In Transit,128.34674403264023,1962.825372420304, 7a088450-c178-4033-8494-9658a3d0460a, None
41,762,683,9,2,1,663, FedEx  , In Transit,486.59665928538345,178.91973064388318, a05f1fcd-51ca-4e6d-807c-cdd93ba7c537, None
42,815,540,1,5,2,80, USPS   , Delivered ,687.4715141544581,1655.5351048176558, ef118d03-128c-443a-9e1c-4bd9f58bd789, Weather
43,991,1174,18,1,2,525, USPS   , In Transit,725.8706105910634,667.6134724205945, fc7d2e29-a413-493e-98c6-7eb8b9128a1a, Mechanical
44,1939,2141,11,5,2,798, DHL    , Delayed   ,621.8201833185142,684.8662261979459, 91ca0077-57fe-4a2e-a920-03a59284d2a4, Weather
45,1550,1356,11,5,5,643, FedEx  , In Transit,366.2318846444167,605.6092413184862, a273a10e-0d78-4bc2-851a-22dd7b0c7ce2, Weather
46,211,920,15,5,3,271, FedEx  , In Transit,588.0163705530322,376.8192529778482, 1c34b0ef-1070-4513-b188-68e56f5d10f0, Mechanical
47,2066,65,11,4,1,238, FedEx  , Delayed   ,483.086630398638,364.2258627772716, 0b16136a-d31c-4d29-9567-49a23e232d06, Weather
48,1962,1606,16,1,5,529, DHL    , Delivered ,966.259826265324,1833.9001855158735, 0b1040a8-0fa4-4034-87fb-1e1d0bf4c28b, None
49,1816,1441,17,2,3,423, USPS   , Delayed   ,140.44050494815951,840.4936592539187, ebd85eab-9faa-4453-aed0-a9247dccea4d, Customs
50,1964,135,3,4,5,132, UPS    , In Transit,747.0291535858192,522.7195275759723, 2682943d-297b-4676-838e-10626463e834, None
51,543,994,14,1,3,14, FedEx  , In Transit,756.9451121962105,453.5274663976616, bf1df622-28ac-42e2-a03e-31c81927b534, Weather
52,846,1666,16,4,3,907, USPS   , Delivered ,390.7669702587891,519.9358170759651, 9fab29f9-fa23-47d4-badf-6693f83dc775, Weather
53,435,1022,16,2,5,526, DHL    , In Transit,698.2614262794916,1601.946503267636, a25cffcf-1e7c-4cdd-a175-9c0afaa32d94, None
54,1769,1147,3,4,3,781, UPS    , In Transit,354.115101135121,642.7811115580113, 81ed436e-6bed-44d9-9739-da2fe6937b09, Mechanical
55,2109,240,19,4,5,29, FedEx  , Delayed   ,100.0892369610204,340.51960150499093, 20cccaf2-33ef-4d4a-9b3f-5a1fcf7c9e57, Customs
